Restaurants and Other Eating Places,Gasoline Stations,Grocery Stores,Traveler Accommodation,Department Stores,Building Material and Supplies Dealers,Health and Personal Care Stores,Other Amusement and Recreation Industries,"Automotive Parts, Accessories, and Tire Stores",Clothing Stores,Automobile Dealers,Month,Day
229194,91015,62943,21778,35194,24879,25853,18990,11367,9909,9176,Mar,11
229052,90621,62882,21926,35346,24730,25867,19078,11348,9988,9147,Mar,12
229907,91087,63041,22161,35664,24730,26005,19313,11393,10095,9132,Mar,13
232069,91898,63189,22403,36051,24881,26159,19630,11470,10278,9136,Mar,14
233093,92116,63052,22631,36250,24912,26206,19855,11512,10394,9117,Mar,15
234353,92461,63012,22951,36620,24950,26273,20138,11566,10512,9118,Mar,16
235372,92805,62822,23272,36903,25027,26322,20369,11595,10670,9125,Mar,17
236808,93454,62710,23567,37156,25151,26405,20596,11661,10828,9177,Mar,18
237758,93602,62559,23778,37321,25243,26433,20873,11661,10939,9169,Mar,19
239014,93837,62449,24031,37517,25349,26550,21226,11665,11053,9182,Mar,20
240987,94737,62392,24279,37813,25591,26701,21624,11698,11180,9208,Mar,21
242056,95002,62262,24481,37951,25695,26798,21892,11687,11270,9161,Mar,22
243352,95445,62218,24773,38233,25811,26941,22184,11669,11399,9156,Mar,23
253388,99215,64064,26085,39730,26670,27749,22990,11932,11895,9415,Mar,24
254768,100285,64201,26213,39852,26885,27877,23203,11951,11946,9442,Mar,25
256568,101232,64359,26591,40200,27217,28052,23501,11962,12083,9495,Mar,26
257807,101633,64373,26920,40485,27407,28160,23731,11984,12195,9546,Mar,27
258981,102306,64584,27299,40843,27603,28371,23970,12001,12291,9603,Mar,28
260679,103120,65109,27673,41249,27776,28645,24166,12022,12401,9621,Mar,29
261800,103778,65840,28057,41823,28050,28925,24346,12051,12581,9637,Mar,30
261861,104210,67065,28211,42411,28098,29451,24454,12065,12594,9607,Apr,1
257693,103178,67283,28308,39555,26969,29428,24107,11880,11901,9423,Apr,2
258864,103804,67370,28643,39930,27116,29606,24221,11909,12019,9460,Apr,3
259676,104332,67550,28942,40049,27242,29767,24305,11946,12091,9485,Apr,4
260610,104816,67754,29332,40159,27367,29899,24442,11982,12176,9528,Apr,5
261839,105537,68009,29733,40307,27647,30054,24624,12045,12260,9608,Apr,6
262133,105884,68088,29924,40214,27850,30084,24682,12078,12292,9636,Apr,7
260984,105797,67741,29717,39652,27757,30005,24533,12063,12150,9617,Apr,8
260403,105474,67605,29469,39407,27743,29924,24492,12048,12118,9613,Apr,9
259503,105093,67580,29160,39097,27738,29824,24630,12040,12018,9590,Apr,10
258189,104451,67348,28834,38603,27625,29693,24735,11995,11892,9545,Apr,11
256557,103692,67040,28456,38087,27493,29493,24820,11962,11746,9517,Apr,12
254873,103023,66590,28078,37554,27422,29244,24906,11920,11623,9527,Apr,13
253984,102500,65836,27727,36873,27272,28951,24924,11875,11448,9537,Apr,14
253529,102049,64641,27610,35982,27208,28423,24965,11846,11356,9550,Apr,15
257436,103106,64519,27520,38542,28280,28453,25414,12008,11973,9718,Apr,16
256145,102446,64504,27113,37995,28097,28300,25506,11948,11803,9690,Apr,17
254213,101425,64085,26587,37499,27901,27996,25406,11824,11595,9596,Apr,18
253100,100709,63972,26131,37236,27795,27894,25444,11769,11459,9558,Apr,19
251976,99963,63871,25682,36952,27590,27768,25478,11716,11340,9512,Apr,20
251592,99344,63826,25409,36880,27440,27727,25571,11682,11264,9501,Apr,21
252707,98925,64244,25371,37306,27479,27875,25884,11693,11430,9563,Apr,22
252548,98197,64301,25286,37390,27312,27902,26051,11652,11470,9574,Apr,23
252663,98029,64300,25279,37360,27176,27919,26117,11651,11476,9583,Apr,24
253285,98275,64422,25245,37424,27188,27914,26203,11656,11485,9612,Apr,25
253974,98660,64526,25241,37454,27220,27945,26255,11662,11504,9618,Apr,26
254748,99204,64808,25253,37538,27219,28019,26357,11705,11508,9627,Apr,27
255760,99811,65117,25297,37648,27192,28129,26467,11723,11513,9633,Apr,28
256736,100282,65346,25329,37770,27175,28227,26532,11733,11534,9638,Apr,29
257148,100429,65442,25299,37948,27153,28243,26597,11727,11580,9619,Apr,30
258066,100924,65733,25336,38132,27197,28352,26743,11792,11636,9620,May,1
260280,101844,66405,25449,38541,27317,28597,27040,11870,11761,9675,May,2
261058,102367,66751,25449,38686,27319,28653,27117,11890,11826,9680,May,3
262086,102838,66974,25539,38995,27374,28780,27246,11913,11932,9689,May,4
263146,103287,67444,25653,39479,27433,28990,27373,11940,12076,9712,May,5
264495,104002,68595,25739,40239,27513,29409,27514,11947,12267,9693,May,6
265243,104614,69345,25796,40027,27221,29679,27402,11914,12246,9633,May,7
265973,105039,69508,25829,40075,27213,29686,27461,11898,12278,9625,May,8
266479,105632,69712,25907,40180,27210,29738,27594,11929,12320,9624,May,9
266537,105988,69834,25980,40248,27198,29772,27731,11934,12342,9629,May,10
267176,106130,69980,26113,40376,27197,29885,27846,11941,12373,9623,May,11
267479,106130,70064,26309,40470,27195,29977,27978,11962,12433,9613,May,12
267851,105719,70066,26601,40499,27096,30043,28052,11948,12490,9644,May,13
268424,105546,70251,26876,40584,26999,30147,28137,11951,12554,9688,May,14
268332,105175,70218,27078,40493,26943,30145,28192,11934,12544,9717,May,15
268776,105427,70322,27315,40531,26972,30191,28369,11999,12588,9788,May,16
269647,105728,70433,27543,40581,27008,30265,28483,12036,12624,9843,May,17
269954,105761,70428,27705,40448,26945,30225,28549,12045,12605,9859,May,18
270408,105820,70258,27809,40153,26815,30096,28593,12021,12561,9828,May,19
270564,105708,69294,28058,39611,26628,29795,28573,12047,12453,9846,May,20
271521,106092,68861,28284,40037,26956,29597,28785,12130,12553,9916,May,21
272541,106473,69033,28481,40180,27018,29683,28983,12195,12607,9959,May,22
273309,106512,69125,28609,40232,27015,29720,28929,12216,12642,9983,May,23
274202,106299,69179,28712,40245,26928,29676,28766,12221,12672,9976,May,24
275561,106643,69382,28849,40407,26971,29643,28855,12233,12756,10003,May,25
276381,107371,69687,29126,40465,27025,29605,28867,12263,12828,10044,May,26
276577,108293,70047,29649,40572,27135,29565,28917,12274,12897,10069,May,27
277366,109074,70253,30580,40508,27186,29522,28964,12285,12952,10079,May,28
279482,109980,71056,30613,41165,27594,29129,28493,12095,13362,9830,May,29
280495,110913,71250,30658,41278,27594,29245,28526,12129,13391,9821,May,30
281855,111463,71397,30786,41560,27609,29366,28721,12162,13449,9822,Jun,1
283811,112360,71749,30970,41853,27611,29597,28891,12212,13539,9849,Jun,2
284932,113254,71994,31236,42007,27606,29773,29022,12278,13591,9875,Jun,3
284617,113887,72156,31396,42033,27535,29825,29056,12285,13553,9841,Jun,4
284383,114222,72152,31584,42001,27379,29838,29040,12261,13530,9820,Jun,5
284591,114328,72106,31724,42113,27300,29847,29008,12260,13577,9788,Jun,6
284991,114470,72097,31970,42305,27274,29873,29215,12261,13637,9771,Jun,7
285118,114682,72131,32208,42470,27274,29947,29449,12276,13704,9772,Jun,8
284230,114376,71916,32429,42406,27142,29913,29468,12266,13714,9756,Jun,9
282451,113523,71427,32414,42285,26906,29787,29414,12198,13656,9693,Jun,10
280673,112951,71006,32103,41992,26539,29697,29307,12143,13469,9578,Jun,11
279415,112563,70618,31490,41869,26269,29567,29248,12108,13306,9522,Jun,12
278351,112337,69925,31818,41513,25849,29927,29781,12283,12996,9736,Jun,13
277743,111729,69670,32137,41536,25760,29742,29732,12215,13034,9701,Jun,14
276743,111482,69450,32394,41456,25663,29564,29607,12154,13043,9650,Jun,15
275614,111434,69277,32607,41412,25588,29336,29519,12103,13046,9608,Jun,16
274415,111360,69170,32851,41542,25546,29167,29475,12079,13099,9581,Jun,17
273937,111494,69456,33050,41788,25393,29149,29459,12049,13107,9553,Jun,18
273430,111589,69692,33175,41490,25028,29167,29381,11992,12969,9511,Jun,19
273504,112179,69580,33438,41520,25014,29078,29460,11994,12967,9515,Jun,20
273564,112457,69501,33706,41521,24970,29006,29487,12018,12963,9509,Jun,21
273697,112828,69461,34027,41570,24959,28925,29587,12023,12950,9521,Jun,22
273914,113082,69455,34354,41692,24957,28853,29636,12037,12983,9533,Jun,23
275019,113640,69646,34821,41848,24979,28853,29748,12089,13021,9578,Jun,24
276015,113980,69655,35257,41936,24906,28770,29851,12123,13078,9609,Jun,25
276935,114310,69666,35522,41899,24859,28742,29909,12151,13101,9627,Jun,26
277653,114586,69641,35752,41836,24824,28700,30035,12184,13084,9679,Jun,27
277977,114692,69608,35861,41770,24820,28696,30189,12218,13100,9719,Jun,28
278578,115033,69728,35877,41731,24844,28650,30314,12273,13087,9777,Jun,29
279210,115184,69792,35864,41656,24902,28623,30367,12323,13056,9787,Jun,30
279650,115316,70166,35725,41544,24971,28597,30357,12351,13021,9795,Jul,1
279518,115012,70601,35719,41206,25055,28439,30359,12361,13011,9794,Jul,2
276812,113584,71003,36221,40613,24870,28102,30029,12300,12816,9706,Jul,3
277562,113720,70996,36217,40744,25014,27904,29535,12193,13022,9596,Jul,4
277690,113930,71141,36241,40636,25019,27892,29495,12175,13005,9594,Jul,5
277716,114128,71231,36263,40545,24996,27935,29521,12181,12986,9578,Jul,6
277547,114407,71234,36280,40405,24935,27954,29533,12166,12915,9553,Jul,7
277442,114642,71203,36281,40310,24863,27986,29553,12148,12867,9528,Jul,8
277437,114763,71308,36303,40290,24774,28009,29574,12134,12816,9524,Jul,9
277649,114923,71564,36386,40343,24651,28063,29598,12151,12792,9502,Jul,10
277740,115148,71698,36474,40436,24639,28140,29646,12176,12821,9488,Jul,11
277798,115059,71705,36625,40538,24572,28119,29638,12171,12809,9444,Jul,12
277789,114790,71601,36963,40568,24493,28130,29614,12145,12834,9407,Jul,13
277861,114604,71510,37343,40706,24418,28138,29656,12140,12881,9424,Jul,14
277886,114396,71052,37781,40687,24283,28146,29703,12114,12893,9433,Jul,15
278514,114493,70159,38095,40667,24097,28096,29732,12120,12930,9428,Jul,16
282519,115985,69570,37995,41490,24418,28343,30197,12270,13282,9536,Jul,17
282398,115738,69885,38359,41401,24220,28619,30726,12370,13100,9654,Jul,18
282692,115638,69959,38575,41505,24182,28656,30798,12373,13149,9672,Jul,19
283114,115528,70021,38835,41603,24144,28664,30786,12397,13199,9691,Jul,20
283590,115488,70046,39096,41692,24125,28685,30756,12393,13266,9690,Jul,21
283702,115345,70007,39388,41788,24102,28655,30717,12435,13323,9656,Jul,22
284041,115340,69869,39639,41852,24088,28675,30716,12524,13418,9664,Jul,23
284191,115240,69610,39849,41970,24111,28685,30721,12563,13513,9650,Jul,24
284266,114949,69406,39979,41937,24044,28682,30652,12607,13558,9609,Jul,25
284540,115001,69397,40205,41932,24004,28739,30630,12687,13588,9603,Jul,26
284731,115027,69307,40305,41889,23924,28775,30617,12720,13622,9590,Jul,27
284514,114933,69213,40377,41778,23822,28789,30533,12688,13632,9574,Jul,28
284617,114855,69151,40416,41730,23707,28777,30436,12660,13632,9561,Jul,29
284911,114768,69127,40388,41878,23689,28835,30393,12646,13683,9580,Jul,30
285290,114764,69024,40388,42123,23678,28859,30379,12616,13765,9579,Aug,1
286184,114682,68973,40294,42334,23634,28882,30325,12634,13847,9569,Aug,2
286968,114524,68941,40192,42538,23573,28941,30306,12631,13917,9535,Aug,3
287604,114520,68895,39993,42720,23518,28990,30272,12613,13981,9510,Aug,4
288349,114382,68917,39741,42900,23471,29008,30274,12631,14028,9526,Aug,5
288881,114159,68910,39239,43025,23445,29084,30228,12594,14089,9550,Aug,6
289569,114013,68987,38722,43452,23464,29140,30226,12525,14272,9541,Aug,7
290032,113967,69267,38215,44031,23487,29269,30237,12477,14461,9570,Aug,8
291062,114150,69557,37786,44549,23450,29366,30258,12435,14580,9608,Aug,9
291638,114302,69742,37184,45012,23408,29435,30195,12350,14646,9613,Aug,10
292006,114388,69960,36588,45374,23392,29496,30153,12338,14631,9622,Aug,11
291992,114143,70017,35962,45486,23368,29500,30106,12320,14563,9617,Aug,12
292960,114242,70128,35360,45634,23393,29550,30132,12353,14511,9621,Aug,13
293701,114289,70274,34992,45987,23375,29622,30201,12383,14537,9629,Aug,14
293923,114295,70544,34477,46695,23372,29779,30258,12409,14610,9630,Aug,15
293603,114126,70595,33975,46826,23326,29865,30249,12408,14524,9618,Aug,16
293206,114055,70607,33575,46922,23316,29899,30157,12418,14413,9633,Aug,17
292832,113770,70611,33170,46870,23323,29968,30127,12442,14246,9631,Aug,18
291802,113434,70516,32725,46650,23299,30009,30027,12445,14068,9617,Aug,19
292731,113430,70570,32359,46506,23318,30061,30066,12493,13909,9617,Aug,20
293082,113173,70671,32020,46450,23358,30121,30202,12552,13747,9655,Aug,21
292817,112923,70691,31725,46357,23396,30145,30328,12590,13574,9675,Aug,22
291759,112496,70532,31458,45858,23378,30165,30368,12599,13300,9656,Aug,23
291178,112152,70420,31302,45364,23391,30156,30365,12611,13070,9672,Aug,24
290054,111532,70088,31146,44799,23302,30041,30302,12576,12882,9644,Aug,25
289789,111363,69936,31015,44447,23272,30021,30249,12577,12728,9640,Aug,26
290124,111269,69866,30906,44147,23227,30060,30212,12562,12581,9638,Aug,27
290402,111194,69906,30737,43835,23195,30065,30219,12549,12429,9666,Aug,28
290003,110971,69877,30555,43174,23180,29992,30183,12529,12198,9699,Aug,29
289461,110922,69840,30379,42642,23167,29989,30170,12538,12025,9696,Aug,30
